Timestamp	Mina huvudsakliga arbetsuppgifter är relaterade till kommunikation. 	Gender	Age	My professional role	Jag har tidigare erfarenhet av att använda AI-driven programvara. 	Jag har tidigare erfarenhet av att använda mig av generativ AI (såsom ChatGPT). 	I can imagine using generative AI in my professional role.	Jag använder generativ AI regelbundet i min yrkesroll. 	Att använda generativa AI-verktyg känns enkelt och kräver ingen extra ansträngning. 	Med hjälp av generativ AI kan jag utföra mina arbetsuppgifter på ett mer tidseffektivt sätt. 	Generativa AI-verktyg är mer korrekta med färre mänskliga fel. 	Generativ AI förstår och utför uppgifter med högre kvalitet än människor. 	Generativ AI levererar trovärdig information. 	Generativa AI-verktyg är tillräckligt utvecklade för att urskilja säkra och osäkra källor. 	Programvaror baserade på generativ AI är mer kreativa än människor. 	Det tar mig för lång tid att lära mig hur jag ska interagera med generativa AI-verktyg. 	Att använda generativa AI-verktyg är för tidskrävande. 	Att arbeta med generativa AI-verktyg är svårt. 	På min arbetsplats är det eftersträvansvärt att vara intresserad av ny teknologi. 	På min arbetsplats är det eftersträvansvärt att vara kompetent i ny teknologi. 	Tekniskt kunniga medarbetare tenderar att få mer inflytande på min arbetsplats. 	Jag har fått ett större intresse för teknologiska verktyg då mina arbetskamrater har ett intresse för det. 	Min arbetsplats förväntar sig att jag anpassar mig till ny teknik. 	Jag uppskattar att generativa AI-verktyg, såsom ChatGPT, har en mänsklig karaktär.	Jag anser att generativa AI-verktyg, såsom ChatGPT, förstår mina behov och det jag frågar efter. 	Jag anser att generativ AI har samma analytiska förmåga som människor.	Jag anser att generativ AI har en egen fri vilja.	Jag anser att generativa AI-verktyg kan uppfatta mina känslor och kommunicera på ett förstående sätt. 	Min arbetsplats uppmuntrar mig till att använda ny teknik. 	Min arbetsgivare bidrar med stöd och underlättar så jag kan lära mig ny teknik.	Med det stöd min arbetsgivare bidrar med känner jag mig trygg i användandet av generativ AI. 	Jag upplever att jag själv kan styra och avgöra hur jag vill använda generativ AI i mitt arbete. 	Jag förstår varför jag behöver lära mig ny teknik i min yrkesroll. 	Jag anser att det är positivt om min arbetsbörda minskar med hjälp av generativ AI. 	Jag känner mig hotad av generativ AI i min yrkesroll. 	Jag tycker att det är kul att lära mig mer om ny teknik. 	Jag är nyfiken på att få veta mer om generativ AI.	Jag känner mig säker på att information som jag delar med generativa AI-verktyg inte lämnas ut till obehöriga personer eller organisationer. 	Jag anser att generativa AI-verktyg kan användas för att manipulera och skada information som jag delar med verktyget, utan min kännedom. 	Jag anser att generativa AI-verktyg är tillräckligt säkra när det gäller att skydda användarnas identitet på internet. 
2023-05-03 13.04.17	Ja	Man	31-40	Annat	Ja	Ja	5.0	5.0	1.0	5.0	1.0	2.0	4.0	1.0	1.0	2.0	3.0	4.0	2.0	5.0	3.0	5.0	3.0	1.0	2.0	1.0	1.0	3.0	3.0	4.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	2.0	4.0	1.0
2023-05-03 13.11.26	Ja	Man	21-30	Annat	Ja	Ja	4.0	3.0	4.0	4.0	1.0	1.0	2.0	1.0	1.0	2.0	3.0	3.0	4.0	4.0	4.0	4.0	4.0	2.0	3.0	1.0	1.0	1.0	4.0	3.0	3.0	3.0	3.0	4.0	4.0	4.0	4.0	1.0	5.0	1.0
2023-05-03 13.22.17	Ja	Kvinna	21-30	Kommunikatör	Nej	Ja	5.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	4.0	4.0	3.0	2.0	2.0	2.0	2.0	2.0	1.0	3.0	2.0	1.0	2.0	3.0	4.0	4.0	3.0	1.0	4.0	2.0	3.0	2.0
2023-05-03 13.23.50	Ja	Kvinna	21-30	PR-konsult	Ja	Ja	5.0	2.0	3.0	4.0	2.0	2.0	2.0	1.0	3.0	3.0	2.0	3.0	3.0	4.0	4.0	4.0	4.0	3.0	3.0	2.0	3.0	3.0	4.0	3.0	3.0	3.0	4.0	5.0	5.0	4.0	5.0	3.0	4.0	3.0
2023-05-03 15.19.22	Ja	Man	21-30	Kommunikatör	Ja	Ja	5.0	3.0	5.0	5.0	4.0	4.0	4.0	3.0	3.0	1.0	1.0	1.0	2.0	4.0	4.0	3.0	4.0	5.0	4.0	3.0	2.0	3.0	4.0	1.0	2.0	4.0	5.0	4.0	5.0	5.0	5.0	1.0	2.0	2.0
2023-05-03 16.49.38	Ja	Kvinna	21-30	Chef inom kommunikation eller marknad	Nej	Nej	5.0	4.0	5.0	5.0	3.0	3.0	3.0	2.0	1.0	2.0	1.0	1.0	4.0	2.0	1.0	2.0	4.0	4.0	3.0	3.0	2.0	3.0	4.0	4.0	4.0	5.0	5.0	5.0	1.0	4.0	5.0	3.0	2.0	4.0
2023-05-03 17.32.05	Ja	Man	41-50	Chef inom kommunikation eller marknad	Ja	Ja	5.0	3.0	3.0	4.0	4.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	4.0	4.0	5.0	4.0	3.0	1.0	3.0	1.0	1.0	1.0	3.0	2.0	4.0	4.0	4.0	5.0	1.0	5.0	5.0	4.0	3.0	2.0
2023-05-03 19.19.30	Ja	Kvinna	31-40	Kommunikatör	Ja	Ja	5.0	1.0	3.0	2.0	2.0	3.0	3.0	2.0	1.0	3.0	3.0	3.0	5.0	5.0	5.0	5.0	3.0	3.0	3.0	2.0	2.0	2.0	5.0	5.0	3.0	3.0	5.0	5.0	1.0	5.0	5.0	1.0	3.0	3.0
2023-05-03 21.24.02	Ja	Kvinna	21-30	Content creator	Ja	Ja	5.0	5.0	5.0	5.0	2.0	3.0	4.0	2.0	5.0	2.0	1.0	1.0	5.0	5.0	5.0	3.0	4.0	4.0	4.0	2.0	1.0	1.0	5.0	3.0	5.0	5.0	5.0	5.0	2.0	4.0	5.0	4.0	4.0	5.0
2023-05-03 21.48.38	Ja	Kvinna	21-30	PR-konsult	Ja	Ja	5.0	2.0	4.0	5.0	3.0	3.0	2.0	1.0	2.0	1.0	1.0	1.0	4.0	4.0	4.0	4.0	5.0	5.0	5.0	2.0	1.0	1.0	4.0	4.0	3.0	5.0	5.0	5.0	1.0	5.0	5.0	2.0	3.0	5.0
2023-05-03 23.19.53	Ja	Kvinna	21-30	Kommunikatör	Nej	Ja	3.0	1.0	4.0	3.0	2.0	2.0	2.0	2.0	3.0	1.0	1.0	1.0	4.0	4.0	3.0	4.0	4.0	4.0	5.0	2.0	4.0	3.0	3.0	2.0	2.0	4.0	3.0	3.0	4.0	4.0	4.0	1.0	5.0	1.0
2023-05-03 23.43.31	Ja	Kvinna	21-30	Kommunikatör	Ja	Ja	5.0	2.0	3.0	3.0	2.0	2.0	4.0	2.0	3.0	2.0	2.0	3.0	4.0	4.0	4.0	5.0	4.0	4.0	3.0	2.0	2.0	3.0	4.0	3.0	3.0	4.0	4.0	4.0	3.0	5.0	5.0	2.0	2.0	2.0
2023-05-04 06.46.44	Ja	Kvinna	21-30	Annat	Ja	Ja	5.0	3.0	3.0	4.0	3.0	3.0	2.0	2.0	3.0	1.0	2.0	2.0	5.0	5.0	4.0	3.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	5.0	5.0	3.0	3.0	5.0	4.0	3.0	3.0	3.0
2023-05-04 08.07.18	Ja	Kvinna	51-60	Chef inom kommunikation eller marknad	Ja	Ja	5.0	2.0	3.0	3.0	2.0	2.0	3.0	1.0	1.0	3.0	3.0	3.0	4.0	4.0	3.0	2.0	3.0	4.0	3.0	2.0	1.0	2.0	3.0	2.0	2.0	4.0	4.0	4.0	2.0	4.0	4.0	3.0	5.0	2.0
2023-05-04 09.27.47	Nej	Man	21-30	Annat	Ja	Ja	5.0																																	
2023-05-04 20.44.53	Ja	Man	51-60	Annat	Nej	Nej	5.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	4.0	4.0	4.0	2.0	5.0	4.0	2.0	4.0	4.0	2.0	1.0	5.0	3.0	5.0	5.0	5.0	5.0	1.0	3.0	4.0	1.0	5.0	1.0
2023-05-06 19.13.44	Ja	Man	31-40	Content creator	Ja	Ja	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	1.0	5.0	5.0	5.0	5.0	5.0
2023-05-07 12.07.06	Ja	Kvinna	31-40	Kommunikatör	Ja	Ja	4.0	2.0	3.0	3.0	1.0	1.0	2.0	1.0	2.0	1.0	3.0	3.0	4.0	3.0	3.0	3.0	4.0	2.0	3.0	3.0	1.0	1.0	4.0	3.0	3.0	1.0	4.0	4.0	2.0	4.0	4.0	3.0	1.0	2.0
2023-05-07 12.20.23	Ja	Kvinna	51-60	Annat	Nej	Nej	3.0	1.0	3.0	1.0	3.0	3.0	3.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	3.0	3.0	3.0	2.0	1.0	1.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	4.0	5.0	2.0	4.0	2.0
2023-05-07 12.25.30	Nej	Man	51-60	Annat	Nej	Nej	2.0																																	
2023-05-07 18.34.51	Ja	Kvinna	51-60	Annat	Nej	Nej	3.0	1.0	3.0	4.0	2.0	2.0	3.0	1.0	2.0	1.0	2.0	2.0	4.0	5.0	3.0	4.0	4.0	2.0	2.0	2.0	1.0	1.0	1.0	3.0	1.0	2.0	4.0	4.0	2.0	4.0	4.0	1.0	4.0	2.0
2023-05-08 14.47.39	Ja	Kvinna	41-50	PR-konsult	Ja	Ja	5.0	5.0	5.0	5.0	3.0	3.0	3.0	1.0	2.0	1.0	1.0	1.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	3.0	1.0	2.0	5.0	2.0	2.0	4.0	5.0	5.0	1.0	5.0	5.0	1.0	5.0	1.0
2023-05-08 15.03.45	Ja	Kvinna	41-50	Kommunikatör	Ja	Ja	5.0	2.0	3.0	4.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	4.0	3.0	2.0	4.0	4.0	3.0	4.0	4.0	2.0	2.0	4.0	4.0	4.0	4.0	4.0	5.0	1.0	5.0	5.0	3.0	2.0	3.0
2023-05-08 15.14.54	Ja	Kvinna	21-30	PR-konsult	Ja	Ja	5.0	4.0	3.0	5.0	3.0	2.0	4.0	3.0	1.0	2.0	2.0	3.0	5.0	5.0	3.0	5.0	4.0	3.0	3.0	2.0	1.0	1.0	5.0	2.0	3.0	5.0	5.0	5.0	2.0	5.0	5.0	2.0	2.0	2.0
2023-05-08 15.24.37	Ja	Man	31-40	Content creator	Ja	Ja	5.0	5.0	4.0	5.0	3.0	2.0	3.0	2.0	2.0	4.0	2.0	2.0	5.0	5.0	4.0	4.0	4.0	3.0	4.0	1.0	1.0	2.0	5.0	5.0	5.0	5.0	5.0	5.0	2.0	5.0	5.0	2.0	3.0	2.0
2023-05-09 08.37.54	Ja	Man	31-40	Chef inom kommunikation eller marknad	Ja	Ja	5.0	5.0	4.0	5.0	3.0	4.0	2.0	1.0	4.0	2.0	2.0	3.0	4.0	4.0	3.0	2.0	4.0	5.0	5.0	3.0	1.0	3.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	3.0	3.0	2.0
2023-05-09 10.27.05	Ja	Kvinna	21-30	Kommunikatör	Ja	Ja	5.0	4.0	5.0	5.0	3.0	3.0	3.0	1.0	2.0	3.0	2.0	3.0	4.0	5.0	4.0	3.0	3.0	4.0	5.0	3.0	1.0	3.0	4.0	2.0	3.0	5.0	5.0	5.0	1.0	5.0	5.0	4.0	3.0	3.0
2023-05-09 10.52.24	Ja	Kvinna	21-30	Kommunikatör	Ja	Ja	5.0	5.0	4.0	4.0	2.0	3.0	3.0	1.0	3.0	1.0	2.0	2.0	5.0	5.0	3.0	5.0	4.0	4.0	4.0	2.0	1.0	1.0	5.0	3.0	3.0	5.0	5.0	4.0	2.0	5.0	5.0	3.0	3.0	3.0
2023-05-10 14.20.59	Ja	Man	51-60	Kommunikatör	Nej	Nej	5.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	3.0	3.0	2.0	3.0	3.0	2.0	3.0	4.0	3.0	3.0	1.0	1.0	2.0	3.0	2.0	1.0	5.0	5.0	3.0	1.0	3.0	4.0	2.0	1.0	1.0
2023-05-11 17.49.34	Ja	Kvinna	31-40	Copywriter	Ja	Ja	5.0	5.0	4.0	2.0	3.0	3.0	4.0	2.0	2.0	3.0	2.0	3.0	4.0	4.0	4.0	3.0	4.0	5.0	4.0	3.0	1.0	2.0	4.0	3.0	3.0	5.0	4.0	4.0	3.0	4.0	4.0	1.0	5.0	2.0
2023-05-12 12.47.12	Ja	Kvinna	41-50	Copywriter	Ja	Ja	5.0	3.0	4.0	3.0	2.0	2.0	1.0	1.0	3.0	4.0	2.0	4.0	5.0	5.0	5.0	5.0	5.0	3.0	4.0	3.0	2.0	4.0	5.0	4.0	4.0	4.0	5.0	5.0	4.0	5.0	5.0	1.0	4.0	1.0
2023-05-15 09.48.19	Ja	Kvinna	31-40	Annat	Nej	Ja	5.0	3.0	4.0	4.0	2.0	3.0	2.0	1.0	3.0	2.0	2.0	2.0	3.0	5.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	2.0	3.0	3.0	4.0	5.0	1.0	5.0	5.0	1.0	3.0	1.0
2023-05-15 14.12.37	Ja	Man	41-50	Chef inom kommunikation eller marknad	Nej	Ja	5.0	5.0	3.0	5.0	4.0	2.0	2.0	3.0	1.0	1.0	1.0	3.0	5.0	5.0		4.0	4.0	3.0	3.0	3.0	3.0	3.0	5.0	4.0	3.0	5.0	5.0	5.0	4.0	3.0	5.0	1.0	5.0	3.0
2023-05-15 14.42.41	Ja	Man	21-30	Kommunikatör	Nej	Ja	5.0	3.0	3.0	3.0	2.0	2.0	3.0	1.0	1.0	1.0	1.0	2.0	3.0	3.0	2.0	2.0	3.0	4.0	4.0	3.0	1.0	1.0	4.0	4.0	4.0	5.0	5.0	4.0	3.0	4.0	5.0	2.0	5.0	2.0
2023-05-16 12.54.14	Ja	Kvinna	21-30	Copywriter	Ja	Ja	5.0	3.0	4.0	5.0	3.0	3.0	3.0	3.0	3.0	2.0	1.0	1.0	3.0	4.0	3.0	2.0	4.0	3.0	4.0	2.0	2.0	2.0	4.0	4.0	4.0	5.0	5.0	3.0	4.0	5.0	5.0	2.0	3.0	3.0
2023-05-16 12.56.02	Ja	Kvinna	21-30	Kommunikatör	Nej	Nej	3.0	1.0	5.0	5.0	3.0	2.0	3.0	2.0	1.0	2.0	2.0	2.0	4.0	4.0	4.0	2.0	3.0	2.0	3.0	1.0	1.0	1.0	2.0	1.0	1.0	4.0	4.0	5.0	4.0	4.0	5.0	1.0	5.0	1.0
2023-05-16 12.56.19	Ja	Kvinna	21-30	Annat	Ja	Ja	5.0	4.0	3.0	5.0	2.0	2.0	3.0	2.0	1.0	2.0	2.0	2.0	4.0	4.0	4.0	5.0	5.0	4.0	4.0	3.0	2.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	4.0	5.0	4.0	4.0	5.0	2.0
